name|code|group|up_name|group2|group2_name|rate|gubun|flag|siga|koga|jega|close|vol|dealprice 
SH에너지화학|KR7002360006|008|화학|||-1.15|2|3|435|440|425|430|1483063|638370090 
한국타이어|KR7000240002|008|화학|||5.3|1|6|27650|29250|27650|28800|1123030|32081838050 
SK에너지|KR7096770003|008|화학|||4.78|1|5|106500|109500|106000|109500|995310|107705077500 
케이피케미칼|KR7064420003|008|화학|||2.22|1|5|11450|11600|11150|11500|818031|9322103450 
금양|KR7001570001|008|화학|||0|3|4|665|675|660|660|741141|492485310 
한국화장품제조|KR7003350006|008|화학|||0|3|4|10350|10850|9990|10600|628118|6538315600 
SKC|KR7011790003|008|화학|||0|3|4|27700|27900|27250|27450|626195|17207968700 
락앤락|KR7115390007|008|화학|||-0.13|2|3|41050|41650|39200|39800|559014|22498102900 
현대피앤씨|KR7011720000|008|화학|||5.04|1|6|1400|1460|1390|1460|492822|705369840 
제일모직|KR7001300003|008|화학|||0.43|1|5|93700|95000|92000|94000|465890|43483382600 
효성|KR7004800009|008|화학|||2.06|1|5|78000|79300|77900|79300|426028|33633318500 
금호석유|KR7011780004|008|화학|||-1.23|2|3|57600|58700|55500|56000|415131|23496712200 
카프로|KR7006380000|008|화학|||2.09|1|5|14600|14800|14100|14650|414123|5993138950 
영보화학|KR7014440002|008|화학|||-0.74|2|3|2790|2795|2670|2685|375772|1018657170 
덕성|KR7004830006|008|화학|||2.88|1|5|3165|3285|3060|3215|368534|1173197600 
삼성정밀화학|KR7004000006|008|화학|||0.63|1|5|64300|64600|63100|63900|367086|23391560100 
SK케미칼|KR7006120000|008|화학|||0.96|1|5|63000|63600|61700|63200|366572|22937429000 
호남석유|KR7011170008|008|화학|||2.56|1|5|159000|162000|155000|160500|349894|55425696000 
한화|KR7000880005|008|화학|||0.13|1|5|38450|38700|38200|38350|329754|12669784850 
알앤엘바이오|KR7003190006|009|의약품|||0.83|1|5|4185|4325|4180|4230|1559281|6623018735 
영진약품|KR7003520004|009|의약품|||4.14|1|5|845|915|835|880|863583|759210440 
오리엔트바이오|KR7002630002|009|의약품|||1.6|1|5|940|970|940|950|394192|375019600 
우리들제약|KR7004720009|009|의약품|||-1.04|2|3|485|500|475|475|393640|191108200 
한올바이오파마|KR7009420001|009|의약품|||2.4|1|5|4550|4700|4540|4700|293905|1365736750 
이연제약|KR7102460003|009|의약품|||1.29|1|5|11950|12350|11700|11750|270725|3244313250 
부광약품|KR7003000007|009|의약품|||1.54|1|5|13150|13400|13100|13200|185227|2455730900 
현대약품|KR7004310009|009|의약품|||-1.98|2|3|1755|1770|1725|1730|152370|265401300 
LG생명과학|KR7068870005|009|의약품|||1.4|1|5|43550|43800|42800|43500|124349|5376087850 
녹십자|KR7006280002|009|의약품|||4.25|1|5|129500|135000|129500|135000|123285|16488192500 
슈넬생명과학|KR7003060001|009|의약품|||0|3|4|1240|1240|1205|1225|119337|145398475 
광동제약|KR7009290008|009|의약품|||1.07|1|5|2800|2845|2800|2830|102326|288789630 
동화약품|KR7000020008|009|의약품|||-0.19|2|3|5380|5450|5370|5380|70845|382632300 
종근당|KR7001630003|009|의약품|||0|3|4|18150|18200|17900|18150|61546|1112568000 
중외제약|KR7001060003|009|의약품|||4.2|1|5|16650|17350|16650|17350|58210|995143500 
한미약품|KR7008930000|009|의약품|||2.4|1|5|82700|85800|82700|85500|56593|4814301300 
일신석재|KR7007110000|010|비금속광물|||-3.35|2|3|1230|1230|1140|1155|5596808|6627858335 
성신양회|KR7004980009|010|비금속광물|||12.26|1|7|4205|4795|4200|4715|453465|2094710955 
쌍용양회|KR7003410008|010|비금속광물|||6.15|1|6|5210|5680|5210|5520|278325|1531391200 
동양메이저|KR7001520006|010|비금속광물|||1.97|1|5|2520|2600|2480|2585|200321|509079335 
베스텍|KR7004870002|010|비금속광물|||-4.59|2|3|530|550|520|520|119435|63894650 
유니온|KR7000910000|010|비금속광물|||1.4|1|5|5700|5850|5500|5780|86543|498809940 
현대시멘트|KR7006390009|010|비금속광물|||2.18|1|5|6100|6150|5920|6080|66344|400896920 
제일연마|KR7001560002|010|비금속광물|||-2.55|2|3|4145|4145|4000|4010|43483|174907180 
아이에스동서|KR7010780005|010|비금속광물|||1|1|5|10050|10400|10000|10100|23082|233112700 
대림B&Co|KR7005750005|010|비금속광물|||-0.77|2|3|1960|1985|1920|1945|17919|34793205 
한일시멘트|KR7003300001|010|비금속광물|||3.2|1|5|59400|62200|59400|61300|16858|1028603300 
한국유리우|KR7002001006|010|비금속광물|||14.67|4|7|11450|12900|11450|12900|15407|196650800 
한국내화|KR7010040004|010|비금속광물|||1.59|1|5|3160|3230|3160|3200|13050|41589750 
쌍용머티리얼|KR7047400007|010|비금속광물|||0|3|4|10750|11200|10600|10750|11910|128072000 
부산산업|KR7011390002|010|비금속광물|||-2.3|2|3|15550|15550|14750|14900|10132|152620400 
대창|KR7012800009|011|철강금속|||12.72|1|7|1745|1985|1740|1950|18661766|34741726275 
이구산업|KR7025820002|011|철강금속|||8.47|1|6|1790|2015|1770|1920|7949393|15175330655 
서원|KR7021050000|011|철강금속|||14.89|4|7|3445|3935|3445|3935|5997673|22295881405 
배명금속|KR7011800000|011|철강금속|||6.07|1|6|1075|1160|1070|1135|5436404|6102064350 
동양철관|KR7008970006|011|철강금속|||-1.11|2|3|1350|1350|1325|1335|2447354|3274386155 
현대제철|KR7004020004|011|철강금속|||6.8|1|6|89000|92700|88800|92700|2172963|197461962800 
동양강철|KR7001780006|011|철강금속|||2.63|1|5|4120|4145|4040|4105|1778844|7297419520 
NI스틸|KR7008260002|011|철강금속|||14.99|4|7|2345|2685|2320|2685|983271|2559248435 
현대하이스코|KR7010520005|011|철강금속|||4.88|1|5|18750|19350|18550|19350|907254|17292929400 
대양금속|KR7009190000|011|철강금속|||2.6|1|5|960|990|960|985|906664|882496525 
대호에이엘|KR7069460004|011|철강금속|||-0.77|2|3|3260|3280|3140|3205|816887|2606152365 
풍산|KR7103140000|011|철강금속|||7.89|1|6|29650|31450|29650|31450|804355|24556425500 
POSCO|KR7005490008|011|철강금속|||5.91|1|6|480000|493000|475000|492500|605509|294395237500 
문배철강|KR7008420002|011|철강금속|||12.34|1|7|2355|2695|2355|2640|591574|1535843060 
동국제강|KR7001230002|011|철강금속|||5.56|1|6|22050|22900|22050|22800|535310|12094356800 
DSR제강|KR7069730000|011|철강금속|||6.7|1|6|4030|4480|4030|4300|523200|2241824500 
두산인프라코어|KR7042670000|012|기계|||6.32|1|6|19800|20300|19750|20200|4326190|86747426400 
신성ENG|KR7104110002|012|기계|||0.73|1|5|5570|5680|5360|5510|1444088|7959056930 
STX엔진|KR7077970002|012|기계|||12.3|1|7|19450|21400|19250|21000|1206227|24963314650 
퍼스텍|KR7010820009|012|기계|||-0.91|2|3|2800|2820|2700|2725|981182|2706594475 
한신기계|KR7011700002|012|기계|||1.19|1|5|1705|1725|1685|1700|944123|1607896490 
두산중공업|KR7034020008|012|기계|||2.49|1|5|73300|74500|73300|74100|786092|58226336500 
기신정기|KR7092440007|012|기계|||0|3|4|12000|12500|11150|11150|626889|7355978700 
참앤씨|KR7009310004|012|기계|||-0.81|2|3|3160|3185|3065|3065|593757|1848886380 
신성FA|KR7104120001|012|기계|||0.67|1|5|6020|6120|5920|6000|400612|2397393340 
세원셀론텍|KR7091090001|012|기계|||-1.1|2|3|5500|5590|5330|5380|383201|2083703640 
STX메탈|KR7071970008|012|기계|||5.37|1|6|10300|11150|10300|10800|276581|3005288300 
성진지오텍|KR7051310001|012|기계|||7.69|1|6|12000|12750|11850|12600|263080|3230424000 
계양전기|KR7012200002|012|기계|||0.65|1|5|2315|2345|2305|2335|248138|576957730 
한국카본|KR7017960006|012|기계|||3.53|1|5|5720|5880|5720|5870|245837|1431312790 
한미반도체|KR7042700005|012|기계|||-0.26|2|3|7780|7840|7650|7730|200328|1547725100 
SIMPAC|KR7009160003|012|기계|||2.37|1|5|4280|4420|4245|4320|199756|865497720 
수산중공업|KR7017550005|012|기계|||0.63|1|5|805|805|785|800|166570|132435500 
KEC|KR7092220003|013|전기전자|||14.7|4|7|1590|1795|1580|1795|45232086|76573000990 
하이닉스|KR7000660001|013|전기전자|||0.36|1|5|28550|28750|27850|28250|8050689|227449616700 
셀런|KR7013240007|013|전기전자|||-5.56|2|2|600|620|500|510|7893810|4471779680 
LG디스플레이|KR7034220004|013|전기전자|||0.7|1|5|42850|43150|41850|42900|2303076|97803878500 
이수페타시스|KR7007660004|013|전기전자|||3.94|1|5|3380|3500|3345|3430|1948774|6664852240 
LG전자|KR7066570003|013|전기전자|||-0.41|2|3|97800|98300|96100|96900|1561629|151318489500 
대덕전자|KR7008060006|013|전기전자|||0.52|1|5|7900|8080|7780|7800|1167609|9264591900 
삼성SDI|KR7006400006|013|전기전자|||-1.92|2|3|178000|180000|176000|178500|906046|160989535000 
삼성전기|KR7009150004|013|전기전자|||1.64|1|5|153500|155000|150500|154500|765281|117408028000 
동부하이텍|KR7000990002|013|전기전자|||2.89|1|5|12400|12500|12100|12450|689332|8518104050 
신성홀딩스|KR7011930005|013|전기전자|||1.92|1|5|4420|4655|4420|4515|681509|3100462975 
대우부품|KR7009320003|013|전기전자|||14.91|4|7|3870|4085|3705|4085|662778|2633748590 
주연테크|KR7044380004|013|전기전자|||-0.67|2|3|760|760|725|740|635700|471236950 
에이엔피|KR7015260003|013|전기전자|||-2.33|2|3|880|880|830|840|608270|516550900 
삼성테크윈|KR7012450003|013|전기전자|||-0.46|2|3|108500|109000|105000|108000|598545|63790368500 
아남전자|KR7008700007|013|전기전자|||1.05|1|5|480|485|475|480|588215|282566125 
대한전선|KR7001440007|013|전기전자|||-0.5|2|3|10100|10200|9910|10000|552098|5529469850 
광명전기|KR7017040007|013|전기전자|||0.66|1|5|1520|1545|1515|1525|547416|836977770 
허메스홀딩스|KR7012400008|013|전기전자|||-14.98|5|1|2700|2945|2695|2695|497176|1368508595 
기아차|KR7000270009|015|운수장비|||-0.31|2|3|32200|32300|31500|31800|5769111|183340898900 
S&T모터스|KR7000040006|015|운수장비|||0.56|1|5|900|945|890|895|2935716|2673146770 
삼성중공업|KR7010140002|015|운수장비|||4.99|1|5|23500|24400|23400|24200|2323011|56055320850 
STX조선해양|KR7067250001|015|운수장비|||7.8|1|6|11200|12050|11150|11750|1990434|23353566100 
대우조선해양|KR7042660001|015|운수장비|||1.85|1|5|19100|19650|19100|19250|1444969|27993914750 
현대차|KR7005380001|015|운수장비|||0.69|1|5|147000|149000|143500|145500|888420|129846799000 
한일이화|KR7007860000|015|운수장비|||2.38|1|5|7790|7900|7660|7750|748171|5810265730 
현대중공업|KR7009540006|015|운수장비|||4.89|1|5|229000|238000|229000|236000|706853|166437879000 
동국실업|KR7001620004|015|운수장비|||1.06|1|5|1415|1475|1415|1425|549540|789901200 
대원강업|KR7000430009|015|운수장비|||-1.54|2|3|2905|2990|2855|2880|492610|1433970450 
동양기전|KR7013570007|015|운수장비|||3.5|1|5|7160|7410|7140|7400|418462|3054591220 
상신브레이크|KR7041650003|015|운수장비|||0.36|1|5|2850|2860|2750|2825|325003|909682295 
대유디엠씨|KR7002880003|015|운수장비|||0.64|1|5|790|795|770|790|321610|252256900 
만도|KR7060980000|015|운수장비|||1.21|1|5|125500|128000|124000|125500|304894|38354378000 
와이비로드|KR7010600005|016|유통업|||-14.41|5|1|550|560|475|475|11083503|5354959825 
로엔케이|KR7006490007|016|유통업|||15|4|7|1310|1495|1310|1495|5400829|7961350005 
SK네트웍스|KR7001740000|016|유통업|||1.35|1|5|11300|11450|11100|11250|2719965|30669236250 
한국화장품|KR7123690000|016|유통업|||1.96|1|5|4590|4755|4480|4680|1859291|8586712620 
고려포리머|KR7009810003|016|유통업|||-4.84|2|3|1250|1330|1165|1180|1577416|1926897340 
SG세계물산|KR7004060000|016|유통업|||0|3|4|330|335|320|330|1192951|388963840 
모나미|KR7005360003|016|유통업|||-0.78|2|3|1975|2135|1850|1920|1093298|2159696025 
STX|KR7011810009|016|유통업|||7.83|1|6|16900|18250|16850|17900|1000563|17850317500 
대우인터내셔널|KR7047050000|016|유통업|||5.24|1|6|30000|31200|29850|31150|847492|25800678050 
삼성물산|KR7000830000|016|유통업|||1.86|1|5|54300|54900|53700|54700|740695|40202686200 
청호전자통신|KR7012410007|016|유통업|||0|3|4|140|150|140|145|645895|91445870 
코아스웰|KR7071950000|016|유통업|||14.66|4|7|1290|1330|1255|1330|536265|709501950 
대우차판매|KR7004550000|016|유통업|||-0.45|2|3|2225|2240|2160|2210|503186|1106983240 
LG상사|KR7001120005|016|유통업|||1.65|1|5|31000|31300|30600|30850|451169|13955579750 
호텔신라|KR7008770000|016|유통업|||1.11|1|5|22800|23150|22600|22800|352011|8058844550 
한국전력|KR7015760002|017|전기가스업|||2.13|1|5|33450|33700|33250|33500|1743231|58407306400 
한국가스공사|KR7036460004|017|전기가스업|||0.68|1|5|44400|44900|44350|44550|132388|5902513400 
지역난방공사|KR7071320006|017|전기가스업|||0.52|1|5|58100|58400|57400|58000|11487|665164100 
예스코|KR7015360001|017|전기가스업|||0|3|4|23950|24100|23900|23950|10770|258465000 
경남에너지|KR7008020000|017|전기가스업|||0.19|1|5|2700|2730|2690|2705|10431|28174105 
삼천리|KR7004690004|017|전기가스업|||0.48|1|5|104000|105000|103500|104500|6872|716815500 
부산가스|KR7015350002|017|전기가스업|||-0.49|2|3|20200|20250|20050|20150|5212|104728300 
대한가스|KR7026870006|017|전기가스업|||-1.66|2|3|27300|27300|26700|26700|2130|57254500 
인천도시가스|KR7034590000|017|전기가스업|||0|3|4|23500|23550|23350|23550|1330|31260000 
경동가스|KR7012320008|017|전기가스업|||0.68|1|5|44750|44750|44500|44700|410|18322000 
서울가스|KR7017390006|017|전기가스업|||0.12|1|5|43300|43350|43250|43250|310|13413500 
진흥기업|KR7002780005|018|건설업|||-2.7|2|3|565|565|535|540|3764321|2057132770 
금호산업|KR7002990000|018|건설업|||1.71|1|5|3495|3730|3380|3560|1842835|6625327415 
남광토건|KR7001260009|018|건설업|||-3.04|2|3|4280|4435|4100|4150|814032|3457203955 
현대건설|KR7000720003|018|건설업|||0.34|1|5|58600|59200|57800|58500|695064|40684966600 
대우건설|KR7047040001|018|건설업|||3.31|1|5|10100|10350|10050|10300|645003|6616657950 
한전KPS|KR7051600005|018|건설업|||3.78|1|5|59900|62000|58700|60400|606590|36618589700 
대림산업|KR7000210005|018|건설업|||8.82|1|6|64800|69400|64600|69100|563423|37953635000 
벽산건설|KR7002530004|018|건설업|||-14.74|5|1|1735|1765|1475|1475|502182|767005625 
GS건설|KR7006360002|018|건설업|||5.06|1|6|78400|81000|78100|80900|451041|36040935900 
삼호개발|KR7010960003|018|건설업|||0.78|1|5|2565|2615|2535|2590|373679|960336260 
현대산업|KR7012630000|018|건설업|||2.8|1|5|27200|28200|27000|27500|245873|6804548400 
성지건설|KR7005980008|018|건설업|||-10.59|2|1|1155|1165|1035|1055|212406|230888730 
한라건설|KR7014790000|018|건설업|||-1.09|2|3|13800|14000|13600|13650|190972|2623430700 
두산건설|KR7011160009|018|건설업|||4.26|1|5|4340|4590|4330|4525|172381|774008335 
코오롱건설|KR7003070000|018|건설업|||3.9|1|5|4130|4285|4110|4265|122211|515648895 
STX팬오션|KR7028670008|019|운수창고업|||2.67|1|5|11350|11750|11350|11550|3195841|36907289400 
한솔CSN|KR7009180001|019|운수창고업|||-1.33|2|3|2640|2655|2575|2595|2561693|6685857375 
아시아나항공|KR7020560009|019|운수창고업|||0.67|1|5|9050|9090|8820|9010|2481772|22236556090 
한진해운|KR7117930008|019|운수창고업|||3.42|1|5|35250|36850|34000|36250|1270114|45400345600 
흥아해운|KR7003280005|019|운수창고업|||0|3|4|940|955|930|950|751183|706012960 
대한항공|KR7003490000|019|운수창고업|||0.25|1|5|80200|81300|79400|79600|447503|35845761500 
대한해운|KR7005880000|019|운수창고업|||3.94|1|5|49750|51700|49450|51500|322982|16380157900 
봉신|KR7005350004|019|운수창고업|||-1.06|2|3|485|485|440|465|316324|146044010 
현대상선|KR7011200003|019|운수창고업|||2.53|1|5|29500|31300|29500|30450|174179|5375915050 
한진|KR7002320000|019|운수창고업|||3.63|1|5|38600|40300|38100|40000|163571|6428741500 
글로비스|KR7086280005|019|운수창고업|||0.73|1|5|137000|138000|135000|137500|118585|16171022000 
동방|KR7004140000|019|운수창고업|||-0.19|2|3|2575|2660|2575|2625|63890|165966300 
세방|KR7004360004|019|운수창고업|||-1.3|2|3|15400|15600|14900|15200|43510|656503000 
국보|KR7001140003|019|운수창고업|||0.65|1|5|15350|15950|15350|15400|19307|299892000 
대한통운|KR7000120006|019|운수창고업|||-0.65|2|3|61800|62600|60800|61200|17166|1054036900 
KSS해운|KR7044450005|019|운수창고업|||0.11|1|5|4510|4660|4470|4540|15150|68598600 
한국공항|KR7005430004|019|운수창고업|||1.21|1|5|45850|46150|44900|45950|7212|327351500  
우리금융|KR7053000006|021|금융업|||-2.8|2|3|16100|16200|15400|15600|7159257|112626962400 
유진투자증권|KR7001200005|021|금융업|024|증권|1.36|1|5|740|750|740|745|3431094|2554914130 
대한생명|KR7088350004|021|금융업|025|보험|1.64|1|5|7980|8070|7950|8060|3044219|24439888440 
KB금융|KR7105560007|021|금융업|||2.01|1|5|49650|50700|49650|50700|2658386|133574596300 
대우증권|KR7006800007|021|금융업|024|증권|3.09|1|5|21300|21850|21300|21700|1948430|42213965650 
동양종금증권|KR7003470002|021|금융업|024|증권|7.08|1|6|9000|9530|8990|9530|1927376|17940334810 
SK증권|KR7001510007|021|금융업|024|증권|1.39|1|5|2165|2210|2165|2185|1803362|3952770780 
신한지주|KR7055550008|021|금융업|||2.17|1|5|46700|47000|46250|47000|1536877|72033458850 
외환은행|KR7004940003|021|금융업|022|은행|0.37|1|5|13450|13550|13350|13450|1367252|18376646900 
메리츠화재|KR7000060004|021|금융업|025|보험|3.81|1|5|7880|8170|7880|8170|1287702|10347061320 
현대해상|KR7001450006|021|금융업|025|보험|6.09|1|6|24150|25250|24100|25250|1133898|28067410850 
현대증권|KR7003450004|021|금융업|024|증권|3.38|1|5|12000|12250|11950|12250|1005197|12218479900 
하나금융지주|KR7086790003|021|금융업|||1.23|1|5|32850|33450|32800|32950|978533|32386295750 
기업은행|KR7024110009|021|금융업|022|은행|1.68|1|5|15000|15300|14900|15100|831086|12580458100 
SBS미디어홀딩스|KR7101060002|026|서비스업|||6.86|1|6|3600|3935|3565|3740|4374927|16530409390 
C&우방랜드|KR7084680008|026|서비스업|||14.88|4|7|3030|3435|2995|3435|2118079|6990455015 
티엘씨레저|KR7014590004|026|서비스업|||-2.27|2|3|220|225|205|215|1649919|349016475 
한국전자홀딩스|KR7006200000|026|서비스업|||8.06|1|6|2200|2440|2155|2345|1469952|3369934690 
LS|KR7006260004|026|서비스업|||-2.63|2|3|85000|85100|77000|81500|791781|63823900700 
제일기획|KR7030000004|026|서비스업|||-0.75|2|3|13500|13550|13050|13200|644391|8540571250 
강원랜드|KR7035250000|026|서비스업|||2.43|1|5|18600|19100|18600|18950|585528|11086430100 
온미디어|KR7045710001|026|서비스업|||-0.63|2|3|3190|3235|3130|3145|571569|1813458355 
프라임엔터|KR7017170002|026|서비스업|||2.45|1|5|2320|2380|2230|2300|518062|1183502980 
GKL|KR7114090004|026|서비스업|||0.87|1|5|23700|23950|22800|23150|489982|11402913400 
LG|KR7003550001|026|서비스업|||0.29|1|5|68400|69200|67600|68600|473458|32345904900 
웅진코웨이|KR7021240007|026|서비스업|||1.97|1|5|41200|42150|40650|41400|436849|18056044700 
웅진홀딩스|KR7016880007|026|서비스업|||0.77|1|5|13150|13300|12700|13150|377043|4902307250 
GS|KR7078930005|026|서비스업|||3.02|1|5|36850|37650|36700|37500|375710|14018652000 
에스원|KR7012750006|026|서비스업|||-3.18|2|3|53500|53900|51800|51800|298716|15639148800 
CJ CGV|KR7079160008|026|서비스업|||2.05|1|5|22050|22500|21450|22400|276903|6071586100 
일진홀딩스|KR7015860000|026|서비스업|||0.9|1|5|3335|3390|3300|3350|272875|912232600 
한전기술|KR7052690005|026|서비스업|||6|1|6|102000|106500|101000|106000|271876|28205993500 
